rank,player,pos,ht,wt,ba,th,born,place,hilvl,mlb_years,stat_years,draft_info,status,cur_org,cur_lev
1,Andrew Benintendi,lf,5-10,185,L,L,1994-07-06,"Cincinnati,OH",MLB,2016-2026,2014-2026,2015- 1- 7-BOS,premium,premium,premium
2,Yoan Moncada,3b,6-0,220,B,R,1995-05-27,"Cienfuegos,CU",MLB,2016-2026,2015-2026,2015- UDFA -BOS,premium,premium,premium
3,Dansby Swanson,ss,6-0,190,R,R,1994-02-11,"Kennesaw,GA",MLB,2016-2026,2013-2026,2015- 1- 1-ARI,premium,premium,premium
4,Alex Reyes,p,6-4,220,R,R,1994-08-29,"Elizabeth,NJ",MLB,2016-2021,2013-2021,2012- UDFA -SLN,premium,premium,premium
5,Gleyber Torres,2b,5-11,205,R,R,1996-12-13,"Caracas,VZ",MLB,2018-2026,2014-2026,2013- UDFA -CHN,premium,premium,premium
6,Austin Meadows,rf-lf,6-3,225,L,L,1995-05-03,"Atlanta,GA",MLB,2018-2023,2013-2023,2013- 1- 9-PIT,premium,premium,premium
7,Cody Bellinger,rf-cf,6-3,204,L,L,1995-07-13,"Scottsdale,AZ",MLB,2017-2026,2013-2026,2013- 4- 124-LAN,premium,premium,premium
8,Amed Rosario,ss-2b,6-2,190,R,R,1995-11-20,"Santo Domingo Centro,DR",MLB,2017-2026,2013-2026,2012- UDFA -NYN,premium,premium,premium
9,Nick Senzel,3b-dh,6-1,217,R,R,1995-06-29,"Atlanta,GA",MLB,2019-2024,2014-2026,2016- 1- 2-CIN,premium,premium,premium
10,Willy Adames,ss,6-0,215,R,R,1995-09-02,"Santiago,DR",MLB,2018-2026,2013-2026,2012- UDFA -DET,premium,premium,premium
11,Ozzie Albies,2b,5-7,165,B,R,1997-01-07,"Willemstad,CC",MLB,2017-2026,2014-2026,2013- UDFA -ATL,premium,premium,premium
12,J.P. Crawford,ss,6-0,202,L,R,1995-01-11,"Long Beach,CA",MLB,2017-2026,2013-2026,2013- 1- 16-PHI,premium,premium,premium
